NUM,METHOD_ID,EMBEDDING
029,M-001207,-0.948449432849884
096,M-004311,0.5559961199760437
159,M-005625,-0.28217238187789917
003,M-000086,-0.9283981323242188
068,M-003160,-0.3568296730518341
319,M-014577,0.3960031270980835
064,M-002727,-0.3349987268447876
056,M-002325,-0.23425042629241943
022,M-000851,0.36962205171585083
238,M-009480,0.26877790689468384
072,M-003403,-0.2719470262527466
406,M-016518,-0.39347854256629944
204,M-007344,0.4880732297897339
245,M-010063,-0.3098856508731842
067,M-003048,-0.22763006389141083
408,M-016545,0.3127422630786896
076,M-003559,-0.3728926479816437
249,M-010581,-0.886986255645752
027,M-001184,0.3838340640068054
071,M-003395,-0.21218949556350708
215,M-008107,0.2926653027534485
014,M-000632,0.38591673970222473
203,M-007343,0.35456326603889465
356,M-016019,-0.8147103786468506
013,M-000598,-0.14178083837032318
081,M-003685,-0.6806412935256958
024,M-001110,-0.7596609592437744
187,M-006235,-0.7512028813362122
063,M-002722,0.1802482008934021
125,M-005080,0.2533857822418213
292,M-013190,0.3923701345920563
189,M-006345,0.34971925616264343
364,M-016118,-0.2491091787815094
123,M-005074,-0.8180283904075623
145,M-005375,-0.47427815198898315
114,M-004925,-0.27344170212745667
147,M-005426,-0.30511152744293213
030,M-001226,-0.15893831849098206
279,M-012529,-0.5041348934173584
144,M-005370,-0.3292043209075928
257,M-011239,0.22572050988674164
182,M-005901,-0.9179080128669739
354,M-015820,0.36666426062583923
312,M-014135,-0.5000543594360352
234,M-009167,0.41071152687072754
344,M-015270,0.43729424476623535
202,M-007309,-0.27911972999572754
247,M-010305,0.40525734424591064
241,M-009761,-0.3580978512763977
367,M-016134,0.2561776638031006
174,M-005769,-0.9505043029785156
019,M-000788,-0.7440270185470581
212,M-007984,-0.29624509811401367
041,M-001584,0.27879470586776733
085,M-003825,-0.9016546607017517
317,M-014524,0.37476566433906555
322,M-014799,0.3820335268974304
120,M-005006,-0.7477156519889832
290,M-013104,0.4663168787956238
339,M-015172,0.3568039536476135
420,M-016674,-0.5382300615310669
026,M-001183,0.3388722538948059
098,M-004376,0.34464988112449646
153,M-005483,-0.11304686963558197
036,M-001501,-0.8042371273040771
175,M-005770,0.2401757389307022
311,M-014122,-0.4686031937599182
087,M-003857,-0.8901054859161377
012,M-000590,-0.9335004687309265
269,M-012178,-0.9686941504478455
223,M-008399,-0.28621798753738403
102,M-004561,-0.9593802690505981
310,M-014111,-0.38604098558425903
075,M-003496,-0.45579731464385986
391,M-016395,0.3373029828071594
301,M-013576,0.47277382016181946
411,M-016572,0.3036631941795349
190,M-006434,0.3012838363647461
259,M-011300,0.3931298553943634
214,M-008067,0.36310237646102905
103,M-004562,-0.9208604097366333
060,M-002657,-0.7094690203666687
166,M-005711,-0.36870577931404114
176,M-005771,-0.11018050462007523
271,M-012219,0.41053473949432373
221,M-008324,-0.4770439565181732
283,M-012787,0.342038094997406
352,M-015661,-0.16151176393032074
305,M-013749,-0.2313254326581955
048,M-001982,-0.7265215516090393
010,M-000327,0.39814603328704834
073,M-003410,-0.8573454022407532
109,M-004831,-0.23302879929542542
289,M-013103,-0.47883546352386475
327,M-014946,0.2684206962585449
184,M-006036,-0.7479003071784973
418,M-016628,-0.3598834276199341
272,M-012260,0.3017069101333618
323,M-014899,-0.11338254809379578
341,M-015239,0.2323656529188156
246,M-010283,0.4580552279949188
070,M-003394,0.32761406898498535
185,M-006094,-0.34904080629348755
213,M-008014,0.32582420110702515
254,M-011096,-0.8534188270568848
357,M-016021,-0.8796934485435486
400,M-016495,0.24903397262096405
199,M-007182,0.2481365203857422
170,M-005732,-0.965279757976532
186,M-006143,-0.9559578895568848
297,M-013365,0.3643887937068939
069,M-003354,-0.8119409084320068
128,M-005090,-0.2948840856552124
217,M-008125,-0.12390872091054916
287,M-012973,-0.9271373152732849
375,M-016225,0.20950140058994293
373,M-016208,0.3345734477043152
320,M-014655,0.31189215183258057
338,M-015168,0.438602089881897
091,M-004080,-0.8457673788070679
104,M-004686,-0.9226876497268677
157,M-005543,-0.43408772349357605
032,M-001281,-0.27512940764427185
244,M-009999,-0.2743927836418152
055,M-002294,0.3981148600578308
164,M-005701,-0.8466343879699707
134,M-005175,-0.2425946593284607
017,M-000713,-0.8608027696609497
401,M-016497,-0.3293910026550293
117,M-004970,-0.39436087012290955
066,M-003008,-0.9083983898162842
148,M-005436,-0.8922548294067383
267,M-012148,0.31277263164520264
156,M-005541,-0.7079545855522156
336,M-015098,0.45236608386039734
313,M-014164,-0.9466940760612488
395,M-016423,-0.41878601908683777
193,M-006534,-0.35226595401763916
101,M-004497,0.37597787380218506
366,M-016126,-0.37774163484573364
158,M-005546,-0.17357537150382996
043,M-001686,0.22768989205360413
089,M-003870,0.38053762912750244
347,M-015444,-0.3915424644947052
277,M-012408,-0.9452003240585327
025,M-001145,-0.430434912443161
167,M-005712,-0.8859611749649048
321,M-014756,-0.34620219469070435
240,M-009546,-0.7881102561950684
168,M-005720,0.19279921054840088
151,M-005460,-0.8765578269958496
281,M-012698,0.5342638492584229
399,M-016488,-0.16797760128974915
309,M-013988,-0.8121914267539978
346,M-015286,-0.8104649782180786
410,M-016566,-0.1740715056657791
206,M-007439,0.3045760989189148
194,M-006544,-0.9527183175086975
396,M-016446,-0.8543655872344971
135,M-005205,-0.3060288429260254
122,M-005037,-0.948525071144104
211,M-007798,0.3864966630935669
388,M-016358,0.3250613808631897
342,M-015267,-0.30518093705177307
300,M-013572,0.41621196269989014
165,M-005702,-0.27139097452163696
133,M-005171,0.25939124822616577
376,M-016245,-0.2843892574310303
393,M-016409,0.37609344720840454
359,M-016097,0.17852242290973663
205,M-007355,0.09938287734985352
173,M-005757,-0.4136554002761841
224,M-008550,-0.4763374328613281
371,M-016199,-0.17152099311351776
282,M-012700,0.4083692133426666
266,M-011874,-0.3960739076137543
260,M-011357,0.2807289659976959
046,M-001946,-0.24112184345722198
139,M-005259,-0.8851331472396851
079,M-003612,0.09371524304151535
160,M-005643,0.25401923060417175
216,M-008108,0.5238736271858215
097,M-004371,-0.880247950553894
162,M-005660,-0.22376994788646698
256,M-011216,-0.31470319628715515
021,M-000846,-0.7187327146530151
171,M-005743,-0.3768112063407898
150,M-005455,-0.21658360958099365
191,M-006436,0.46960943937301636
288,M-013074,-0.8468360304832458
268,M-012153,0.2674211263656616
037,M-001506,-0.5792217254638672
415,M-016605,-0.8932641744613647
222,M-008389,-0.3296402096748352
333,M-015083,0.5084261894226074
360,M-016099,0.2821815609931946
183,M-005909,0.315304160118103
054,M-002278,-0.9029152989387512
052,M-002192,0.5017105937004089
348,M-015517,-0.7463328838348389
092,M-004161,-0.8966906666755676
047,M-001947,-0.90968257188797
059,M-002507,-0.5069755911827087
308,M-013903,-0.24400781095027924
335,M-015091,0.48104745149612427
365,M-016123,0.31717583537101746
386,M-016348,-0.27563363313674927
020,M-000839,0.34672948718070984
195,M-006674,-0.8084848523139954
316,M-014520,0.3818894028663635
243,M-009943,-0.23496928811073303
414,M-016593,0.45214712619781494
127,M-005088,-0.2843072712421417
007,M-000257,-0.657339870929718
378,M-016261,0.43742799758911133
314,M-014308,-0.3548145294189453
261,M-011528,-0.6520367860794067
231,M-008817,0.28287196159362793
149,M-005454,0.29625993967056274
332,M-015057,0.48712778091430664
377,M-016258,-0.31276413798332214
363,M-016108,0.25203341245651245
295,M-013346,0.39223504066467285
034,M-001426,0.3825034201145172
303,M-013599,0.3613007068634033
077,M-003583,0.3940368890762329
219,M-008283,0.4258320927619934
284,M-012788,-0.11160425841808319
083,M-003750,0.43876907229423523
343,M-015268,0.3369024693965912
264,M-011582,0.4993135333061218
350,M-015572,0.3843907117843628
387,M-016353,-0.761090874671936
382,M-016313,-0.7357414960861206
138,M-005258,-0.9502489566802979
002,M-000085,-0.9386842846870422
402,M-016498,0.42632099986076355
334,M-015085,-0.722600519657135
397,M-016466,0.30498379468917847
038,M-001541,-0.9420767426490784
299,M-013401,0.3192332088947296
050,M-002154,-0.8681520223617554
275,M-012328,-0.9398465156555176
304,M-013730,-0.864962100982666
326,M-014925,0.35485318303108215
251,M-010854,-0.19714397192001343
154,M-005486,-0.26886922121047974
090,M-003982,-0.8871800899505615
108,M-004828,-0.13728681206703186
004,M-000135,-0.8717379570007324
379,M-016285,-0.18374153971672058
163,M-005693,-0.47552743554115295
015,M-000646,-0.897340714931488
016,M-000701,-0.8755147457122803
044,M-001916,-0.8391233682632446
074,M-003454,0.293069988489151
110,M-004839,-0.8570699691772461
403,M-016500,0.3219850957393646
239,M-009485,-0.9221476316452026
177,M-005814,0.22519409656524658
140,M-005266,0.496033251285553
196,M-006675,0.16274888813495636
345,M-015271,0.43424493074417114
236,M-009445,0.30140992999076843
331,M-015032,-0.33681243658065796
419,M-016637,-0.9234382510185242
100,M-004475,-0.24396927654743195
208,M-007637,0.25332945585250854
155,M-005498,-0.9584738612174988
362,M-016101,0.42207610607147217
337,M-015161,0.41624176502227783
053,M-002194,-0.8652170300483704
112,M-004894,-0.28218260407447815
137,M-005240,-0.783160924911499
368,M-016135,-0.6958503127098083
180,M-005894,0.32317808270454407
080,M-003667,-0.8880996704101562
045,M-001936,-0.25628861784935
146,M-005386,-0.20023684203624725
258,M-011257,-0.8841140270233154
252,M-010855,-0.3059154152870178
198,M-006923,-0.7181155681610107
084,M-003760,-0.4505394697189331
329,M-014982,0.3781866133213043
291,M-013189,-0.7483540773391724
351,M-015598,-0.8990343809127808
086,M-003845,-0.8903884291648865
263,M-011535,-0.8216870427131653
006,M-000225,-0.730670154094696
061,M-002692,0.323027104139328
355,M-015855,-0.14771127700805664
095,M-004272,0.27946215867996216
152,M-005482,-0.2942242920398712
023,M-000914,0.2149333953857422
250,M-010752,0.25190550088882446
358,M-016072,-0.32544568181037903
384,M-016326,0.3828105330467224
188,M-006243,0.34931039810180664
307,M-013881,-0.623335599899292
011,M-000371,0.23569132387638092
306,M-013767,0.4217134714126587
385,M-016344,0.3188612759113312
062,M-002720,-0.289132297039032
286,M-012959,-0.005001790821552277
302,M-013577,0.4175298511981964
126,M-005081,0.3916618525981903
028,M-001185,0.26170578598976135
380,M-016297,0.3716190457344055
099,M-004419,-0.3806528151035309
178,M-005823,0.2664184868335724
031,M-001230,-0.8004778027534485
405,M-016503,-0.16787481307983398
298,M-013371,-0.22106662392616272
132,M-005157,-0.1472657322883606
142,M-005335,-0.8011585474014282
143,M-005364,-0.7457427978515625
197,M-006845,-0.8823248147964478
324,M-014916,-0.2903110384941101
107,M-004818,-0.29855161905288696
116,M-004940,-0.24120014905929565
383,M-016322,0.3640625476837158
407,M-016532,-0.3491255044937134
141,M-005316,-0.36579054594039917
285,M-012935,-0.9657328128814697
278,M-012461,-0.3081950843334198
225,M-008553,-0.7999774217605591
330,M-015026,0.2535320818424225
001,M-000024,-0.5018366575241089
398,M-016486,-0.3275918960571289
381,M-016300,-0.23951542377471924
374,M-016213,0.18705275654792786
265,M-011831,-0.20695078372955322
040,M-001578,0.3520010709762573
270,M-012189,0.23873403668403625
353,M-015701,-0.3245317041873932
255,M-011129,0.3719971477985382
340,M-015224,0.044458262622356415
093,M-004193,-0.7862916588783264
161,M-005644,-0.280497282743454
390,M-016388,-0.8415933847427368
417,M-016616,-0.785077691078186
227,M-008641,0.09886308014392853
242,M-009802,-0.17942163348197937
039,M-001571,0.13740412890911102
118,M-004985,-0.007968245074152946
129,M-005092,0.08634588122367859
226,M-008594,-0.9641174077987671
136,M-005225,-0.34652483463287354
210,M-007640,0.06370037794113159
232,M-008983,-0.22681409120559692
200,M-007191,-0.5714763402938843
413,M-016579,0.14318270981311798
005,M-000191,-0.724898099899292
179,M-005829,-0.9603478908538818
058,M-002438,-0.18007278442382812
262,M-011531,0.18590033054351807
057,M-002331,-0.7809838652610779
361,M-016100,-0.04842718318104744
293,M-013205,0.08744656294584274
065,M-002997,-0.24327079951763153
220,M-008286,0.1877111941576004
294,M-013273,0.24018454551696777
325,M-014918,0.13391666114330292
192,M-006462,-0.47694531083106995
370,M-016187,0.09437137842178345
328,M-014979,0.2844269275665283
201,M-007300,-0.8768510818481445
033,M-001382,0.17142970860004425
169,M-005726,-0.37238022685050964
253,M-010863,-0.41363582015037537
094,M-004248,-0.888613224029541
349,M-015538,-0.14311838150024414
172,M-005750,-0.6534324288368225
218,M-008228,0.46186596155166626
049,M-001983,-0.7766495943069458
181,M-005896,0.12497422099113464
130,M-005101,-0.6196520924568176
228,M-008646,-0.02987052872776985
416,M-016613,-0.15289771556854248
119,M-004989,-0.34958600997924805
237,M-009473,0.08335111290216446
392,M-016399,-0.08836816251277924
042,M-001679,-0.9328975677490234
082,M-003725,-0.11983043700456619
105,M-004692,0.05133036524057388
008,M-000269,-0.017488893121480942
131,M-005146,-0.029951345175504684
088,M-003861,0.1286463886499405
106,M-004809,-0.9041585922241211
009,M-000315,0.18875275552272797
404,M-016501,-0.28633251786231995
372,M-016200,-0.06980361044406891
274,M-012326,0.05312633886933327
078,M-003588,-0.0009600184857845306
229,M-008716,0.18535421788692474
230,M-008797,0.1253989338874817
207,M-007532,0.05368068069219589
235,M-009335,0.07632413506507874
115,M-004927,-0.7725710868835449
394,M-016411,0.12500956654548645
051,M-002188,-0.916864275932312
389,M-016377,-0.9348877668380737
369,M-016168,0.028381215408444405
121,M-005028,-0.20483168959617615
248,M-010316,0.14195258915424347
296,M-013358,0.0491819866001606
035,M-001493,0.09378255903720856
209,M-007638,0.07368053495883942
280,M-012540,-0.0712502971291542
273,M-012299,0.14786845445632935
113,M-004912,-0.7619357705116272
124,M-005076,-0.8175997734069824
276,M-012345,-0.9046111702919006
233,M-009089,-0.7805032730102539
315,M-014432,-0.009457888081669807
409,M-016549,0.019774919375777245
018,M-000754,0.046032145619392395
412,M-016577,0.012090863659977913
318,M-014527,0.08966397494077682
111,M-004874,-0.14444375038146973